N_Name,Burglary_2,Burglary_3,OBJECTID
Brookland Brentwood Langdon,21,23,136
Edgewood Bloomingdale Truxton Circle Eckington,12,7,137
Edgewood Bloomingdale Truxton Circle Eckington,10,17,138
Edgewood Bloomingdale Truxton Circle Eckington,18,7,139
Brookland Brentwood Langdon,25,38,140
Brookland Brentwood Langdon,11,18,141
Woodridge Fort Lincoln Gateway,17,40,142
Lamond Riggs Fort Totten Pleasant Hill,6,8,143
N Michigan Park Michigan Park University Heights,5,36,144
N Michigan Park Michigan Park University Heights,17,20,145
Lamond Riggs Fort Totten Pleasant Hill,3,6,146
Lamond Riggs Fort Totten Pleasant Hill,3,3,147
Lamond Riggs Fort Totten Pleasant Hill,5,8,148
N Michigan Park Michigan Park University Heights,1,18,149
Eastland Gardens Kenilworth,8,9,150
Mayfair Hillbrook Mahaning Heights,4,11,151
River Terrace Benning Greenway Fort Dupont,13,9,152
River Terrace Benning Greenway Fort Dupont,8,9,153
Congress Heights Bellevue Washington Highlands,5,15,154
Congress Heights Bellevue Washington Highlands,9,13,155
Congress Heights Bellevue Washington Highlands,8,6,156
Congress Heights Bellevue Washington Highlands,8,13,157
Congress Heights Bellevue Washington Highlands,8,7,158
Congress Heights Bellevue Washington Highlands,14,22,159
Congress Heights Bellevue Washington Highlands,8,9,160
Congress Heights Bellevue Washington Highlands,16,18,161
Twining Fairlawn Fort Davis Park Dupont Park,8,7,162
Twining Fairlawn Fort Davis Park Dupont Park,8,15,163
Capitol View Marshall Heights Benning Heights,13,16,164
Capitol View Marshall Heights Benning Heights,13,14,165
Capitol View Marshall Heights Benning Heights,25,26,166
Capitol View Marshall Heights Benning Heights,5,6,167
Capitol View Marshall Heights Benning Heights,9,5,168
Downtown Chinatown Penn MV Square N Capitol St,14,5,169
Southwest/Waterfront Fort McNair Buzzard Point,3,8,170
Takoma Brightwood Manor Park,11,8,171
Congress Heights Bellevue Washington Highlands,26,33,172
Southwest/Waterfront Fort McNair Buzzard Point,4,8,173
NoMa Union Station Stanton Park Kingman Park,25,25,174
Dupont Circle Connecticut Avenue/K Street,31,21,175
West End Foggy Bottom GWU,10,10,176
No Cluster,8,15,177
Southwest/Waterfront Fort McNair Buzzard Point,2,3,178
Woodridge Fort Lincoln Gateway,23,49,179
