N_Name,Burglary_3,OBJECTID
Deanwood Burrville Lincoln Heights,20,114
Deanwood Burrville Lincoln Heights,16,115
Deanwood Burrville Lincoln Heights,22,116
Deanwood Burrville Lincoln Heights,16,117
NoMa Union Station Stanton Park Kingman Park,24,118
NoMa Union Station Stanton Park Kingman Park,14,119
NoMa Union Station Stanton Park Kingman Park,15,120
NoMa Union Station Stanton Park Kingman Park,12,121
NoMa Union Station Stanton Park Kingman Park,6,122
NoMa Union Station Stanton Park Kingman Park,3,123
NoMa Union Station Stanton Park Kingman Park,11,124
NoMa Union Station Stanton Park Kingman Park,7,125
NoMa Union Station Stanton Park Kingman Park,8,126
NoMa Union Station Stanton Park Kingman Park,15,127
Edgewood Bloomingdale Truxton Circle Eckington,18,128
Edgewood Bloomingdale Truxton Circle Eckington,10,129
Ivy City Arboretum Trinidad Carver Langston,28,130
Ivy City Arboretum Trinidad Carver Langston,20,131
Ivy City Arboretum Trinidad Carver Langston,21,132
Ivy City Arboretum Trinidad Carver Langston,49,133
Ivy City Arboretum Trinidad Carver Langston,28,134
Woodridge Fort Lincoln Gateway,5,135
Brookland Brentwood Langdon,23,136
Edgewood Bloomingdale Truxton Circle Eckington,7,137
Edgewood Bloomingdale Truxton Circle Eckington,17,138
Edgewood Bloomingdale Truxton Circle Eckington,7,139
Brookland Brentwood Langdon,38,140
Brookland Brentwood Langdon,18,141
Woodridge Fort Lincoln Gateway,40,142
Lamond Riggs Fort Totten Pleasant Hill,8,143
N Michigan Park Michigan Park University Heights,36,144
N Michigan Park Michigan Park University Heights,20,145
Lamond Riggs Fort Totten Pleasant Hill,6,146
Lamond Riggs Fort Totten Pleasant Hill,3,147
Lamond Riggs Fort Totten Pleasant Hill,8,148
N Michigan Park Michigan Park University Heights,18,149
Eastland Gardens Kenilworth,9,150
Mayfair Hillbrook Mahaning Heights,11,151
River Terrace Benning Greenway Fort Dupont,9,152
River Terrace Benning Greenway Fort Dupont,9,153
Congress Heights Bellevue Washington Highlands,15,154
Congress Heights Bellevue Washington Highlands,13,155
Congress Heights Bellevue Washington Highlands,6,156
Congress Heights Bellevue Washington Highlands,13,157
Congress Heights Bellevue Washington Highlands,7,158
Congress Heights Bellevue Washington Highlands,22,159
Congress Heights Bellevue Washington Highlands,9,160
Congress Heights Bellevue Washington Highlands,18,161
Twining Fairlawn Fort Davis Park Dupont Park,7,162
Twining Fairlawn Fort Davis Park Dupont Park,15,163
Capitol View Marshall Heights Benning Heights,16,164
Capitol View Marshall Heights Benning Heights,14,165
Capitol View Marshall Heights Benning Heights,26,166
Capitol View Marshall Heights Benning Heights,6,167
Capitol View Marshall Heights Benning Heights,5,168
Downtown Chinatown Penn MV Square N Capitol St,5,169
Southwest/Waterfront Fort McNair Buzzard Point,8,170
Takoma Brightwood Manor Park,8,171
Congress Heights Bellevue Washington Highlands,33,172
Southwest/Waterfront Fort McNair Buzzard Point,8,173
NoMa Union Station Stanton Park Kingman Park,25,174
Dupont Circle Connecticut Avenue/K Street,21,175
West End Foggy Bottom GWU,10,176
No Cluster,15,177
Southwest/Waterfront Fort McNair Buzzard Point,3,178
Woodridge Fort Lincoln Gateway,49,179
